customer_id,first_name,last_name,email,phone,city,state,country,age,gender,signup_date,segment,prime_member,total_spent,total_orders
26,Gabriel,Myers,gabriel.myers411@icloud.com,000-000-0000,Philadelphia,PA,USA,31,Male,"June 29, 2022",At-Risk,No,12117.79,3
27,Daniel,Flores,daniel.flores96@yahoo.com,(710) 933-5781,San Diego,CA,USA,56,Non-binary,"July 24, 2021",Loyal,Yes,19316.88,53
28,James,Torres,james.torres594@aol.com,(981) 756-7180,San Jose,CA,USA,48,Female,2023-10-20,Loyal,Yes,3156.16,75
29,Henry,COOPER,henry.cooper148@hotmail.com,4791027186,San Jose,CA,USA,20,f,"July 07, 2022",At-Risk,No,2259.48,12
30,Abigail,MYERS,abigail.myers333@gmail.com,+1-824-591-4945,Memphis,TN,USA,60,Male,21-Oct-2019,Loyal,No,13664.95,9
31,Caroline,Parker,caroline.parker310@yahoo.com,N/A,Toronto,ON,Canada,36,Female,"February 08, 2024",Churned,Yes,15522.28,84
32,eli,Gray,eli.gray35@icloud.com,(379) 405-3165,Dallas,TX,USA,36,Male,"June 10, 2020",Loyal,Yes,18853.79,28
33,Bella,Campbell,bella.campbell271@icloud.com,(853) 580-2775,Memphis,TN,USA,37,Female,"August 19, 2022",New,Yes,24898.18,14
34,Grayson,Mitchell,grayson.mitchell969@icloud.com,(830) 617-5583,San Jose,CA,USA,59,male,18-Oct-2023,VIP,No,2291.84,27
35,John,Young,john.young211@gmail.com,(536) 992-3417,Birmingham,ENG,UK,19,F,09/24/2019,Loyal,Yes,6634.19,16
36,Julian,Stewart,julian.stewart112@hotmail.com,9058094481,Munich,BY,Germany,23,Male,"November 06, 2022",Returning,Yes,15826.92,70
37,Chloe,Flores,chloe.flores813@aol.com,5553738511,Birmingham,ENG,UK,48,Male,09/24/2022,Returning,Yes,18614.72,47
38,Bella,Gomez,bella.gomez363@aol.com,(814) 519-6761,Milwaukee,WI,USA,35,Non-binary,02-Oct-2023,Returning,Yes,15339.33,82
39,nicholas,Wright,nicholas.wright781@outlook.com,9477405183,,NV,USA,38,Non-binary,18-Jul-2021,New,Yes,1244.06,10
40,Isaac,Torres,isaac.torres117@outlook.com,(515) 246-4612,Denver,CO,USA,25,Male,21-Apr-2023,Returning,No,13314.56,29
41,Sophia,PHILLIPS,sophia.phillips20@hotmail.com,3739600515,Oklahoma City,OK,USA,55,Female,2019-06-30,Returning,No,8487.83,42
42,Audrey,Morgan,audrey.morgan360@aol.com,+1-991-843-9095,San Jose,CA,USA,58,Male,06-Apr-2023,Returning,No,7570.51,35
43,hazel,Stewart,hazel.stewart294@gmail.com,8226558827,Philadelphia,PA,USA,69,Male,2021-10-23,Returning,Yes,978.55,56
44,Luke,Mitchell,luke.mitchell794@outlook.com,+1-941-872-3463,Houston,TX,USA,59,Female,21-Sep-2022,Returning,No,16087.33,42
45,Hunter,Price,hunter.price687@hotmail.com,(984) 697-4145,Los Angeles,CA,USA,67,Non-binary,2021-11-05,Returning,Yes,20783.63,79
46,Gabriel,Campbell,gabriel.campbell455@icloud.com,9208272919,Albuquerque,NM,USA,69,Non-binary,10/26/2021,At-Risk,No,21852.92,70
47,Amelia,Torres,amelia.torres461@icloud.com,(557) 227-7797,Milwaukee,WI,USA,71,Male,06-Feb-2021,Loyal,No,17401.8,17
48,Lucas,Williams,lucas.williams562@aol.com,9039244081,Milwaukee,WI,USA,36,male,05/07/2022,VIP,Yes,16609.28,10
49,Brooklyn,Rogers,brooklyn.rogers21@hotmail.com,+1-950-872-2698,Chicago,IL,USA,39,Female,2023-03-30,Loyal,No,15793.4,17
50,chloe,Sanchez,chloe.sanchez43@outlook.com,3228836941,Montreal,QC,Canada,42,Male,"June 13, 2021",Loyal,Yes,23107.76,66
51,Nora,Richardson,nora.richardson301@outlook.com,3509882812,Oklahoma City,OK,USA,,Female,2020-07-16,Loyal,Yes,21216.73,56
52,Luke,Campbell,luke.campbell620@yahoo.com,,Memphis,TN,USA,34,Female,2021-10-19,Loyal,No,5004.46,17
53,Isaac,Lopez,isaac.lopez328@aol.com,(361) 928-3852,Phoenix,AZ,USA,54,Male,2020-04-29,VIP,Yes,1643.7,50
54,Thomas,TURNER,thomas.turner996@outlook.com,(998) 764-3981,Albuquerque,NM,USA,28,Male,08/30/2023,VIP,Yes,22373.15,10
55,Mason,Brooks,mason.brooks515@aol.com,+1-229-283-1744,Melbourne,VIC,Australia,19,Female,"June 26, 2020",VIP,Yes,12073.62,51
56,Isaac,Torres,isaac.torres622@yahoo.com,8506790123,Oklahoma City,OK,USA,42,Non-binary,2021-07-09,Loyal,Yes,18028.21,24
57,Aurora,Flores,aurora.flores403@icloud.com,7522247263,Indianapolis,IN,USA,43,Male,"January 29, 2023",VIP,Yes,1838.29,64
58,Anna,Price,anna.price100@hotmail.com,4147818256,El Paso,TX,USA,57,Male,11/29/2021,Loyal,Yes,14843.12,64
59,Owen,Nguyen,owen.nguyen690@gmail.com,+1-871-994-4728,Melbourne,VIC,Australia,61,f,"September 10, 2021",Returning,No,7842.31,19
60,Adrian,Nguyen,adrian.nguyen64@aol.com,+1-745-550-9950,Columbus,OH,USA,30,Female,26-Oct-2022,At-Risk,Yes,19279.36,26
61,Bella,Ross,bella.ross693@icloud.com,(497) 243-5712,Portland,OR,USA,62,Male,18-Feb-2020,Loyal,Yes,6061.45,85
62,Henry,Turner,henry.cooper148@hotmail.com,(688) 866-4267,Austin,TX,USA,29,Female,2022-08-28,Loyal,Yes,24929.3,50
63,chloe,Jones,chloe.jones110@outlook.com,+1-315-538-3662,Manchester,ENG,UK,68,Male,2020-06-10,VIP,No,22426.07,54
64,Emily,Moore,emily.moore7@outlook.com,(940) 786-1187,Albuquerque,NM,USA,63,Male,"August 11, 2021",At-Risk,Yes,5478.22,17
65,Aubrey,Torres,aubrey.torres776@icloud.com,+1-570-279-2838,Columbus,OH,USA,72,Non-binary,01/24/2024,VIP,No,2273.54,65
66,Layla,Flores,layla.flores689@outlook.com,(274) 246-7941,Portland,,USA,67,Female,27-Mar-2024,Returning,No,11213.43,48
67,Brooklyn,Moore,brooklyn.moore183@icloud.com,(505) 674-9920,Dallas,TX,US,,Non-binary,2020-07-18,New,Yes,2522.42,4
68,ella,Powell,ella.powell553@yahoo.com,(949) 789-6224,Houston,TX,USA,21,Non-binary,"September 14, 2022",Loyal,No,13896.27,6
69,Audrey,Green,audrey.green308@hotmail.com,(924) 347-8586,Manchester,ENG,UK,23,Female,03/06/2021,Returning,Yes,1288.42,48
70,Michael,Ortiz,michael.ortiz223@hotmail.com,+1-972-690-4974,El Paso,TX,USA,67,Male,02/23/2020,VIP,Yes,6539.04,65
71,Easton,Nguyen,easton.nguyen209@outlook.com,(467) 766-7841,Chicago,IL,USA,70,Female,19-Oct-2021,Loyal,No,19874.39,21
72,Brooklyn,Gray,brooklyn.gray860@gmail.com,+1-717-666-7114,Houston,TX,USA,19,,"September 27, 2022",Returning,1,18054.82,68
73,Jordan,Collins,jordan.collins110@gmail.com,(473) 606-2294,Indianapolis,IN,USA,72,Male,2020-09-06,Returning,No,1402.87,1
74,Connor,Nelson,connor.nelson98@icloud.com,(686) 477-1762,Charlotte,NC,USA,unknown,Non-binary,03-Jan-2020,Returning,Yes,4061.26,30
75,Brooklyn,Nelson,brooklyn.nelson810@aol.com,8894147240,Montreal,QC,Canada,40,Non-binary,"March 02, 2019",Returning,Yes,16516.8,10
76,Sophia,Hernandez,sophia.hernandez803@aol.com,+1-289-391-8061,Louisville,KY,united states,53,Male,2021-11-15,Churned,Yes,7296.18,49
77,Ella,Howard,ella.howard174@yahoo.com,5361527572,Seattle,WA,USA,37,Male,"May 01, 2022",Churned,No,20101.91,42
78,Paisley,Diaz,paisley.diaz971@aol.com,5358554365,Oklahoma City,OK,USA,52,Female,01/17/2021,VIP,0,11540.56,26
79,Gabriel,Hughes,gabriel.hughes248@outlook.com,000-000-0000,Milwaukee,WI,USA,33,Male,2022-12-07,Loyal,No,16936.8,51
80,Charlotte,Johnson,charlotte.johnson765@icloud.com,(895) 802-9199,Sydney,NSW,Australia,39,Female,08/26/2019,VIP,No,2440.58,57
81,Alexander,Williams,alexander.williams694@yahoo.com,5426335013,Indianapolis,IN,USA,45,F,03/21/2021,VIP,No,20218.24,8
82,Luke,Adams,luke.adams687@hotmail.com,+1-889-922-5873,Oklahoma City,OK,USA,37,Male,23-Jun-2019,Loyal,No,14910.65,73
83,Nicholas,Gray,nicholas.gray171@hotmail.com,2586412136,Jacksonville,FL,USA,23,F,"November 03, 2022",At-Risk,Yes,13440.22,21
84,Aurora,Bell,aurora.bell275@icloud.com,(651) 759-4580,Memphis,TN,USA,25,Female,2021-07-10,Loyal,No,15256.55,54
85,Jackson,Davis,jackson.davis612@icloud.com,(895) 297-3221,Denver,CO,USA,66,Female,26-May-2020,Loyal,No,10355.63,57
86,Penelope,Morgan,penelope.morgan899@outlook.com,9021586685,Vancouver,,Canada,38,Male,03/22/2020,Loyal,No,19707.59,6
87,Liam,Thomas,liam.thomas468@gmail.com,5764947017,Milwaukee,WI,USA,58,Male,09/22/2022,VIP,Yes,17592.45,0
88,Joshua,PRICE,joshua.price352@gmail.com,(291) 948-2678,Milwaukee,WI,USA,54,Male,08/06/2022,Loyal,No,5326.39,19
89,Sofia,Lopez,sofia.lopez127@icloud.com,+1-815-814-5668,Las Vegas,NV,USA,56,Non-binary,24-Feb-2019,Returning,Yes,19595.04,30
90,Cameron,Martinez,cameron.martinez370@outlook.com,(682) 988-2195,Sydney,NSW,Australia,50,Female,26-Apr-2024,Returning,Yes,13441.38,19
91,Jackson,Martin,jackson.martin650@aol.com,(444) 259-5005,Phoenix,AZ,USA,63,Female,09/25/2020,Loyal,Yes,13075.13,33
92,Joseph,Morales,joseph.morales31@outlook.com,(842) 278-9128,Seattle,WA,USA,61,Male,2021-01-23,VIP,YES,6113.79,60
93,Noah,Bell,noah.bell672@hotmail.com,+1-889-253-3938,Indianapolis,IN,USA,36,Male,2019-04-05,VIP,Yes,5016.78,72
94,Aubrey,Cox,aubrey.cox795@yahoo.com,,Manchester,ENG,USA,51,Female,05-Oct-2023,New,Yes,17791.31,11
95,Gabriel,Long,gabriel.long766@gmail.com,9140142275,Montreal,QC,Canada,35,F,11-Mar-2024,Loyal,Yes,2724.32,13
96,Andrew,Rivera,andrew.rivera316@hotmail.com,7218474537,San Diego,CA,USA,29,Male,22-Mar-2021,Loyal,Yes,6246.32,59
97,Isabella,Gutierrez,isabella.gutierrez844@hotmail.com,8199490323,Philadelphia,PA,USA,43,f,"April 14, 2019",Returning,Yes,22707.61,35
98,Anna,Wood,anna.wood422@icloud.com,5413838650,Philadelphia,PA,USA,29,Male,05-Dec-2020,VIP,y,1464.78,60
99,Daniel,Gonzalez,daniel.gonzalez547@aol.com,(377) 380-4875,Charlotte,NC,USA,30,Female,12/11/2022,,Yes,1404.2,77
100,Adrian,Sanchez,adrian.sanchez182@outlook.com,7899527473,San Jose,CA,USA,49,Male,"October 07, 2019",VIP,Yes,19674.79,28
101,Madelyn,Myers,madelyn.myers2@aol.com,+1-779-306-9129,Portland,OR,USA,23,Male,09-Jun-2019,At-Risk,No,1694.87,32
102,Isaac,Morales,isaac.morales424@hotmail.com,000-000-0000,Las Vegas,NV,USA,42,Female,03-May-2024,VIP,Yes,8448.76,78
103,Paisley,Perez,paisley.perez55@gmail.com,3277326067,Fort Worth,TX,USA,36,Non-binary,2019-11-11,Returning,NO,15954.77,10
104,Julian,Rivera,julian.rivera658@icloud.com,+1-475-777-2009,Memphis,TN,USA,44,Non-binary,28-Sep-2022,New,Yes,10465.8,68
105,Aiden,Nguyen,aiden.nguyen875@aol.com,3928610987,Sydney,NSW,Australia,70,Female,"June 10, 2019",At-Risk,No,22854.35,8
106,Grace,Peterson,grace.peterson806@aol.com,+1-776-998-2654,London,ENG,UK,59,Female,"December 08, 2023",Loyal,Yes,10074.35,79
107,John,Myers,john.myers943@outlook.com,2979069637,Los Angeles,CA,USA,31,Female,2020-07-05,VIP,Yes,12881.74,20
108,Alice,COOPER,alice.cooper198@yahoo.com,(403) 480-7035,,IN,USA,48,Non-binary,"February 01, 2021",Churned,Yes,18724.03,11
109,Claire,Gutierrez,claire.gutierrez663@yahoo.com,(985) 898-1145,Seattle,WA,USA,63,Male,03-Apr-2020,Returning,No,6299.97,59
110,nathan,Wilson,nathan.wilson990@outlook.com,+1-483-467-5895,Berlin,BE,Germany,69,Non-binary,2023-04-17,Churned,No,636.38,63
111,zoey,Powell,zoey.powell586@yahoo.com,7584294244,Charlotte,NC,USA,39,Male,09/20/2019,VIP,Yes,10511.81,42
112,amelia,Nguyen,amelia.nguyen595@icloud.com,2647588523,Fort Worth,TX,USA,49,Male,10/21/2019,Loyal,Yes,117.84,35
113,Daniel,Rivera,daniel.rivera133@icloud.com,+1-214-529-9700,Milwaukee,WI,USA,40,Male,01/09/2019,Returning,Yes,4175.5,5
114,Cameron,Cooper,cameron.cooper138@outlook.com,(613) 219-4742,Vancouver,BC,Canada,58,Male,2019-09-10,Loyal,Yes,16549.25,83
115,Isaac,Carter,isaac.carter719@yahoo.com,(476) 837-3247,New York,NY,USA,71,Non-binary,10/16/2021,Churned,Yes,4009.34,70
116,john,Walker,john.walker929@gmail.com,5885997885,Vancouver,BC,Canada,,Male,2020-06-24,Churned,Yes,2374.96,5
117,John,Rivera,john.rivera275@aol.com,+1-864-370-2852,El Paso,TX,USA,,Female,05/01/2019,Loyal,No,19479.11,78
118,Mason,Murphy,mason.murphy422@hotmail.com,+1-546-731-9570,San Francisco,,USA,60,Female,07/15/2019,VIP,Yes,1364.15,82
119,aurora,Perez,aurora.perez247@outlook.com,8202743969,Houston,TX,USA,19,Male,"October 09, 2020",New,Yes,20647.72,77
120,Bella,Clark,bella.clark350@outlook.com,000-000-0000,Charlotte,NC,USA,41,F,27-Aug-2023,Loyal,No,18562.77,52
121,Dylan,Ramirez,dylan.ramirez734@outlook.com,(326) 990-8381,Baltimore,MD,USA,48,Non-binary,"December 22, 2021",Loyal,Yes,18262.37,16
122,Riley,Rogers,riley.rogers624@aol.com,+1-966-724-5897,Seattle,WA,USA,57,Male,10/29/2023,Loyal,No,24379.49,22
123,Alexander,Ortiz,alexander.ortiz585@aol.com,(735) 309-1414,Manchester,ENG,UK,62,Male,08/09/2020,VIP,No,2562.0,71
124,Aiden,Morgan,aiden.morgan295@aol.com,+1-457-407-8259,Louisville,KY,USA,52,Non-binary,14-Dec-2022,VIP,Yes,24586.33,9
125,Jayden,Garcia,jayden.garcia134@yahoo.com,+1-992-840-5934,,CA,USA,29,m,31-Jan-2022,Loyal,Yes,10085.43,44
126,Luke,Nguyen,luke.nguyen544@hotmail.com,(857) 828-4994,New York,NY,USA,,Non-binary,01-Mar-2021,Loyal,Yes,22457.04,24
127,Thomas,Reed,thomas.reed216@aol.com,000-000-0000,Columbus,OH,USA,34,F,2019-03-19,At-Risk,No,15755.43,55
128,James,GRAY,james.gray764@icloud.com,(902) 508-2417,Phoenix,AZ,USA,43,Non-binary,08/28/2021,Loyal,No,16198.52,1
129,James,Howard,james.howard970@gmail.com,+1-458-398-2877,Las Vegas,NV,USA,22,Male,"October 12, 2023",At-Risk,No,14514.89,42
130,carter,Watson,carter.watson498@hotmail.com,2020752792,Nashville,TN,USA,47,Female,03-Oct-2019,At-Risk,Yes,4394.25,77
131,Andrew,Sanchez,andrew.sanchez79@aol.com,+1-764-466-9904,Los Angeles,CA,USA,32,,08/24/2021,At-Risk,Yes,12760.3,50
132,Adrian,Price,adrian.price457@yahoo.com,(695) 567-1662,Sydney,NSW,Australia,47,f,29-Mar-2019,Churned,Yes,15839.17,35
133,Matthew,Carter,matthew.carter670@gmail.com,+1-342-650-3713,Louisville,KY,USA,41,Non-binary,08/10/2022,Returning,No,20279.32,14
134,Daniel,GRAY,daniel.gray45@yahoo.com,+1-384-729-7642,Austin,TX,USA,60,Male,N/A,VIP,No,21682.56,21
135,Nathan,Jenkins,nathan.jenkins271@yahoo.com,(587) 594-3166,El Paso,TX,USA,56,Male,"May 25, 2022",VIP,Yes,2329.75,84
136,Alice,Hughes,alice.hughes380@gmail.com,(590) 558-2600,Milwaukee,WI,USA,18,Male,"August 03, 2020",Returning,No,16363.65,40
137,Nathan,Allen,nathan.allen579@outlook.com,+1-695-459-6024,Portland,OR,USA,46,Female,2021-03-26,VIP,Yes,20021.34,78
138,Caroline,Smith,caroline.smith483@icloud.com,(941) 593-7564,Phoenix,AZ,USA,60,Non-binary,2022-08-04,New,Yes,12895.34,29
139,Paisley,Smith,paisley.smith283@hotmail.com,9413709295,Portland,OR,uk,43,F,04/08/2020,Returning,Yes,1809.65,37
140,David,Reed,david.reed711@hotmail.com,+1-693-319-5224,Sydney,NSW,Australia,44,Male,06/04/2023,New,Yes,6206.44,11
141,Lincoln,Thompson,lincoln.thompson916@icloud.com,(471) 411-4755,Fort Worth,TX,USA,66,Non-binary,"September 03, 2019",Loyal,Yes,12308.51,73
142,Savannah,Scott,savannah.scott132@gmail.com,+1-323-915-9490,Milwaukee,WI,USA,55,Male,N/A,Loyal,Yes,13714.09,30
143,Emily,Cook,emily.cook771@outlook.com,5496922300,Portland,OR,USA,18,Female,02/06/2020,Loyal,No,12925.17,40
144,Ryan,Miller,ryan.miller62@yahoo.com,8701652366,Toronto,ON,Canada,59,Non-binary,11/12/2023,At-Risk,No,12761.11,57
145,Eli,Jackson,eli.jackson951@outlook.com,3346395203,Munich,BY,Germany,51,Female,09-Jul-2020,Loyal,Yes,18194.31,84
146,Jackson,Perez,jackson.perez960@hotmail.com,6657081410,Los Angeles,CA,USA,28,male,06/26/2021,Churned,No,24374.54,69
147,Ellie,Bailey,ellie.bailey647@aol.com,7270476542,Sydney,NSW,Australia,66,Female,2019-11-15,Loyal,No,23052.21,61
148,Cameron,Robinson,cameron.robinson194@hotmail.com,+1-632-840-4924,Milwaukee,WI,USA,65,Non-binary,12-Jul-2023,Returning,Yes,4560.18,37
149,Ellie,Watson,ellie.watson156@gmail.com,2999913493,Los Angeles,CA,USA,47,Male,"September 30, 2020",Loyal,No,1784.62,60
150,Jayden,Johnson,jayden.johnson255@hotmail.com,8533242775,Albuquerque,NM,USA,53,Non-binary,2024-04-01,Loyal,Yes,9010.67,6
151,Caroline,Collins,caroline.collins283@icloud.com,+1-291-454-3583,,IN,USA,59,Female,2022-06-20,Returning,Yes,7918.49,71
152,Isaac,Morales,isaac.morales367@aol.com,4433965438,Chicago,IL,USA,27,Female,11/12/2023,At-Risk,No,18.0,81
153,Anna,Campbell,anna.campbell739@gmail.com,+1-530-619-6276,Manchester,ENG,UK,20,Female,09/11/2022,VIP,Yes,16043.79,49
154,David,Miller,david.miller73@gmail.com,(679) 854-1994,Columbus,OH,USA,71,F,2023-08-14,VIP,No,5775.45,49
155,Eli,Thompson,eli.thompson765@gmail.com,+1-716-545-3591,Sydney,NSW,Australia,38,Male,26-Jun-2021,Returning,Yes,15210.33,72
156,Eliana,Allen,jayden.johnson255@hotmail.com,+1-419-522-1355,Denver,CO,USA,47,Male,08/12/2023,At-Risk,Yes,6246.42,32
157,sofia,Morales,sofia.morales495@yahoo.com,6632025130,Sydney,NSW,Australia,32,Non-binary,2021-05-03,Returning,Yes,1029.56,69
158,Evelyn,Miller,evelyn.miller995@hotmail.com,3443831341,Sydney,NSW,Australia,26,Female,"June 24, 2019",VIP,No,14283.27,71
159,Sophia,Wright,sophia.wright947@icloud.com,5305755992,Baltimore,MD,USA,41,Female,04/02/2019,Returning,Yes,6076.21,79
160,Emma,Baker,alice.cooper198@yahoo.com,+1-884-218-7170,Manchester,ENG,UK,30,Non-binary,12/14/2021,Loyal,Yes,1664.94,84
161,Charlotte,Williams,charlotte.williams396@yahoo.com,000-000-0000,Montreal,QC,Canada,,Male,11/14/2020,VIP,Yes,6896.96,7
162,Olivia,Gomez,olivia.gomez350@hotmail.com,+1-786-356-7987,Philadelphia,PA,USA,26,Non-binary,11/05/2020,VIP,Yes,17213.3,67
163,Thomas,Jackson,thomas.jackson162@outlook.com,+1-623-621-5970,Manchester,ENG,UK,24,Female,03/26/2024,Loyal,Yes,14176.08,29
164,Lucas,Myers,lucas.myers867@icloud.com,(367) 397-4707,Memphis,TN,USA,22,Female,03/01/2023,Loyal,No,17196.57,58
165,Lucy,Powell,lucy.powell404@icloud.com,+1-243-451-9498,Sydney,NSW,Australia,46,Female,2019-03-22,At-Risk,No,7360.49,6
166,Connor,Stewart,connor.stewart185@icloud.com,+1-292-456-6309,Manchester,ENG,UK,63,Female,2023-06-20,Returning,No,18171.85,65
167,Ava,Jenkins,ava.jenkins893@aol.com,(629) 515-6071,Austin,TX,USA,,Female,20-May-2024,New,No,5946.96,75
168,cameron,Diaz,cameron.diaz285@icloud.com,(237) 348-1531,Columbus,OH,USA,36,Non-binary,08/12/2019,Loyal,Yes,4435.48,58
169,Thomas,Hill,thomas.hill840@gmail.com,(481) 537-9635,Birmingham,ENG,UK,62,Non-binary,2022-03-16,At-Risk,Yes,6491.5,73
170,Ryan,Cook,ryan.cook505@yahoo.com,9462369848,Charlotte,NC,US,unknown,Male,12/17/2020,Returning,Yes,13749.84,0
171,Ryan,Wood,ryan.wood199@outlook.com,(693) 359-8546,Toronto,ON,Canada,19,Female,07-Sep-2023,Churned,Yes,1655.33,19
172,Eli,Reed,eli.reed399@yahoo.com,(288) 708-4893,Nashville,TN,USA,46,FEMALE,02/05/2021,VIP,Yes,23090.92,67
173,Henry,Peterson,henry.peterson742@gmail.com,+1-247-305-9529,London,ENG,United Kingdom,31,Male,01-Oct-2020,At-Risk,Yes,19319.68,85
174,Emma,Watson,emma.watson556@outlook.com,N/A,Seattle,WA,USA,21,Male,2021-08-22,Loyal,Yes,15736.77,57
175,Taylor,Ortiz,taylor.ortiz998@hotmail.com,4020979143,Philadelphia,PA,USA,38,Female,11-Jan-2020,Returning,Yes,11966.3,21
176,Savannah,Wilson,savannah.wilson110@outlook.com,+1-693-593-2082,Phoenix,AZ,USA,39,Non-binary,"April 25, 2022",Loyal,Yes,18484.18,73
177,Riley,Gomez,riley.gomez316@hotmail.com,+1-342-794-1003,San Antonio,TX,USA,54,Female,02-Nov-2019,Churned,No,7613.75,55
178,Nathan,Johnson,nathan.johnson868@yahoo.com,+1-488-231-4854,Houston,TX,USA,45,Non-binary,"March 18, 2021",Loyal,Yes,13885.54,46
179,Aaliyah,TAYLOR,aaliyah.taylor17@yahoo.com,5694327968,Vancouver,BC,Canada,32,Female,"November 09, 2021",New,No,5918.75,64
180,Noah,Jones,noah.jones116@icloud.com,+1-280-735-2449,Philadelphia,PA,USA,52,Non-binary,2023-02-27,New,Yes,19463.18,60
181,John,Torres,john.torres302@outlook.com,+1-786-252-5780,Berlin,BE,Germany,22,Male,2019-02-25,Loyal,Yes,355.08,14
182,Caleb,Stewart,caleb.stewart802@aol.com,5597525665,Jacksonville,FL,USA,71,male,01/26/2023,Returning,No,9968.62,38
183,Avery,Carter,avery.carter269@yahoo.com,9227898711,,WI,USA,35,Male,04-Jun-2022,Loyal,No,18727.27,75
184,Emily,Green,savannah.wilson110@outlook.com,+1-834-294-1931,London,ENG,UK,25,Male,2024-01-05,Loyal,No,14151.72,23
185,Hazel,Reyes,hazel.reyes945@outlook.com,(263) 591-7366,Oklahoma City,OK,USA,29,Female,10/04/2021,VIP,Yes,15349.16,13
186,Sophia,Martinez,sophia.martinez457@gmail.com,5885302779,San Jose,,USA,18,Female,2021-09-06,Loyal,Yes,23376.05,45
187,Connor,Lopez,connor.lopez349@gmail.com,+1-309-845-6886,Denver,CO,USA,N/A,Non-binary,06/15/2021,Returning,Yes,16085.19,63
188,Liam,Jones,liam.jones739@gmail.com,9477759238,Columbus,OH,USA,57,Male,N/A,Loyal,0,1248.95,39
189,Skylar,Rodriguez,skylar.rodriguez510@icloud.com,(955) 894-7586,Charlotte,NC,USA,25,Male,04/15/2023,Returning,Yes,13835.19,56
